class,precision,recall,f1,support
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,1.0,0.9,0.9473684210526315,20
Corn_(maize)___Northern_Leaf_Blight,0.9512195121951219,1.0,0.975,39
Tomato___Late_blight,0.987012987012987,1.0,0.9934640522875817,76
Tomato___Bacterial_spot,1.0,0.9882352941176471,0.9940828402366864,85
Apple___healthy,1.0,1.0,1.0,66
Blueberry___healthy,1.0,1.0,1.0,60
Apple___Cedar_apple_rust,1.0,1.0,1.0,11
Apple___Apple_scab,1.0,1.0,1.0,25
Cherry_(including_sour)___healthy,1.0,1.0,1.0,34
Corn_(maize)___Common_rust_,1.0,1.0,1.0,48
Corn_(maize)___healthy,1.0,1.0,1.0,46
Grape___Black_rot,1.0,1.0,1.0,47
Grape___Esca_(Black_Measles),1.0,1.0,1.0,55
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,43
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,42
Apple___Black_rot,1.0,1.0,1.0,25
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,220
Grape___healthy,1.0,1.0,1.0,17
Peach___Bacterial_spot,1.0,1.0,1.0,92
Peach___healthy,1.0,1.0,1.0,14
Potato___Early_blight,1.0,1.0,1.0,40
Potato___Late_blight,1.0,1.0,1.0,40
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,40
"Pepper,_bell___healthy",1.0,1.0,1.0,59
Raspberry___healthy,1.0,1.0,1.0,15
Potato___healthy,1.0,1.0,1.0,6
Soybean___healthy,1.0,1.0,1.0,204
Squash___Powdery_mildew,1.0,1.0,1.0,73
Strawberry___healthy,1.0,1.0,1.0,18
Strawberry___Leaf_scorch,1.0,1.0,1.0,44
Tomato___Early_blight,1.0,1.0,1.0,40
Tomato___Leaf_Mold,1.0,1.0,1.0,38
Tomato___Septoria_leaf_spot,1.0,1.0,1.0,71
Tomato___Spider_mites_Two-spotted_spider_mite,1.0,1.0,1.0,67
Tomato___Target_Spot,1.0,1.0,1.0,56
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,214
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,15
Tomato___healthy,1.0,1.0,1.0,64
