class,precision,recall,f1,support
Tomato___Early_blight,0.8857142857142857,0.775,0.8266666666666667,40
Peach___healthy,0.9230769230769231,0.8571428571428571,0.8888888888888888,14
Tomato___Target_Spot,0.9230769230769231,0.8571428571428571,0.8888888888888888,56
Tomato___Late_blight,0.8888888888888888,0.9473684210526315,0.9171974522292994,76
Tomato___Bacterial_spot,0.9285714285714286,0.9176470588235294,0.9230769230769231,85
Tomato___Spider_mites_Two-spotted_spider_mite,0.9014084507042254,0.9552238805970149,0.927536231884058,67
Tomato___Leaf_Mold,0.9714285714285714,0.8947368421052632,0.9315068493150684,38
Tomato___Septoria_leaf_spot,0.9428571428571428,0.9295774647887324,0.9361702127659575,71
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,1.0,0.9,0.9473684210526315,20
Potato___Late_blight,0.95,0.95,0.95,40
"Pepper,_bell___Bacterial_spot",0.9285714285714286,0.975,0.9512195121951219,40
Apple___Cedar_apple_rust,1.0,0.9090909090909091,0.9523809523809523,11
Tomato___Tomato_mosaic_virus,1.0,0.9333333333333333,0.9655172413793104,15
"Pepper,_bell___healthy",0.9661016949152542,0.9661016949152542,0.9661016949152542,59
Apple___healthy,0.984375,0.9545454545454546,0.9692307692307692,66
Tomato___healthy,0.9545454545454546,0.984375,0.9692307692307692,64
Peach___Bacterial_spot,0.967741935483871,0.9782608695652174,0.972972972972973,92
Potato___Early_blight,0.9523809523809523,1.0,0.975609756097561,40
Cherry_(including_sour)___Powdery_mildew,1.0,0.9523809523809523,0.975609756097561,42
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9678899082568807,0.985981308411215,0.9768518518518519,214
Apple___Black_rot,0.9615384615384616,1.0,0.9803921568627451,25
Blueberry___healthy,0.9833333333333333,0.9833333333333333,0.9833333333333333,60
Corn_(maize)___Northern_Leaf_Blight,0.975,1.0,0.9873417721518988,39
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9767441860465116,0.9882352941176471,43
Grape___Black_rot,0.9791666666666666,1.0,0.9894736842105263,47
Soybean___healthy,0.9901960784313726,0.9901960784313726,0.9901960784313726,204
Squash___Powdery_mildew,0.9864864864864865,1.0,0.9931972789115646,73
Grape___healthy,1.0,1.0,1.0,17
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,220
Corn_(maize)___Common_rust_,1.0,1.0,1.0,48
Apple___Apple_scab,1.0,1.0,1.0,25
Cherry_(including_sour)___healthy,1.0,1.0,1.0,34
Strawberry___Leaf_scorch,1.0,1.0,1.0,44
Strawberry___healthy,1.0,1.0,1.0,18
Potato___healthy,1.0,1.0,1.0,6
Raspberry___healthy,1.0,1.0,1.0,15
Corn_(maize)___healthy,1.0,1.0,1.0,46
Grape___Esca_(Black_Measles),1.0,1.0,1.0,55
