model,corruption,severity,class,f1,clean_f1,f1_drop
frozen,low_light,3,Grape___healthy,0.0,1.0,1.0
frozen,low_light,3,Raspberry___healthy,0.0,1.0,1.0
frozen,low_light,3,Strawberry___healthy,0.0,1.0,1.0
finetune,low_light,3,Tomato___Early_blight,0.0,1.0,1.0
finetune,low_light,3,Cherry_(including_sour)___Powdery_mildew,0.0,1.0,1.0
finetune,low_light,3,Grape___Black_rot,0.0,1.0,1.0
finetune,low_light,3,Grape___healthy,0.0,1.0,1.0
finetune,low_light,3,Corn_(maize)___healthy,0.0,1.0,1.0
finetune,low_light,3,Apple___Apple_scab,0.0,1.0,1.0
finetune,low_light,3,Apple___Cedar_apple_rust,0.0,1.0,1.0
finetune,low_light,3,Apple___healthy,0.0,1.0,1.0
finetune,low_light,3,Peach___healthy,0.0,1.0,1.0
finetune,low_light,3,Orange___Haunglongbing_(Citrus_greening),0.0,1.0,1.0
finetune,low_light,3,Potato___Late_blight,0.0,1.0,1.0
finetune,low_light,3,Potato___Early_blight,0.0,1.0,1.0
finetune,low_light,3,Potato___healthy,0.0,1.0,1.0
finetune,low_light,3,Raspberry___healthy,0.0,1.0,1.0
finetune,low_light,3,Soybean___healthy,0.0,1.0,1.0
finetune,low_light,3,Squash___Powdery_mildew,0.0,1.0,1.0
finetune,low_light,3,Tomato___Leaf_Mold,0.0,1.0,1.0
finetune,low_light,3,Strawberry___healthy,0.0,1.0,1.0
finetune,low_light,3,Tomato___healthy,0.0,1.0,1.0
finetune,low_light,3,Tomato___Tomato_mosaic_virus,0.0,1.0,1.0
finetune,low_light,3,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0,1.0,1.0
finetune,low_light,3,Tomato___Spider_mites_Two-spotted_spider_mite,0.0,1.0,1.0
finetune,low_light,3,Tomato___Target_Spot,0.0,1.0,1.0
finetune,motion_blur,3,Grape___healthy,0.0,1.0,1.0
finetune,low_light,2,Potato___healthy,0.0,1.0,1.0
finetune,low_light,2,Apple___Cedar_apple_rust,0.0,1.0,1.0
finetune,motion_blur,3,Strawberry___healthy,0.0,1.0,1.0
finetune,motion_blur,3,Potato___healthy,0.0,1.0,1.0
frozen,motion_blur,3,Potato___healthy,0.0,1.0,1.0
finetune,motion_blur,3,Tomato___healthy,0.0,1.0,1.0
finetune,motion_blur,3,Potato___Early_blight,0.0,1.0,1.0
