model,corruption,severity,n,accuracy,accuracy_ci95_low,accuracy_ci95_high,errors,ece,mean_confidence,mean_confidence_when_wrong,n_errors_behind_that_mean
finetune,jpeg,1,2169,0.9953895804518211,0.9915336621418143,0.9974937938862736,10,0.0033505235085290277,0.9940141544444443,0.8271511479999999,10
finetune,jpeg,2,2169,0.9479022591055786,0.9377328592358016,0.9564878699696775,113,0.016871627431996432,0.9537455222867681,0.7082841182300884,113
finetune,jpeg,3,2169,0.7648686030428768,0.7465625467920236,0.7822380800000996,510,0.04556476008990319,0.8009011034140157,0.564545322137255,510
finetune,low_light,1,2169,0.875979714153988,0.8614399341220947,0.8891900243617635,269,0.08054451683725225,0.9560089568280314,0.8504864852416358,269
finetune,low_light,2,2169,0.5504840940525588,0.5294782464802075,0.5713114291224688,975,0.2931339451037345,0.8436180391562932,0.7753620068512821,975
finetune,low_light,3,2169,0.13831258644536654,0.12442194740239333,0.1534821575263783,1869,0.4190236183771323,0.5573362048224988,0.5144916338523274,1869
finetune,motion_blur,1,2169,0.9820193637621023,0.9755151977846568,0.986819102147745,39,0.008615418478561534,0.9893306698478563,0.8025035615384615,39
finetune,motion_blur,2,2169,0.8533886583679114,0.8378777238754426,0.8676500053432911,318,0.07415861886583683,0.9269260324850161,0.7589435020125785,318
finetune,motion_blur,3,2169,0.5850622406639004,0.5641939375316722,0.6056297624563987,900,0.27329123616413087,0.8583534768280313,0.755621596111111,900
finetune,none,0,2169,0.9986168741355463,0.995941119745811,0.9995295118915803,3,0.0015522921392347505,0.9985312729414476,0.85900169,3
frozen,jpeg,1,2169,0.9289995389580452,0.9174155400451869,0.9390665891629433,154,0.0664669803964961,0.8641428185799908,0.5437259639610389,154
frozen,jpeg,2,2169,0.8284923928077456,0.8120510253689387,0.8437722062923109,372,0.0924608405993545,0.736133552374366,0.4631972337365592,372
frozen,jpeg,3,2169,0.6542185338865837,0.6339451983768145,0.6739465503820459,750,0.035747732646380814,0.6215827000230522,0.44912372030666664,750
frozen,low_light,1,2169,0.8658367911479945,0.8508443911712912,0.8795355868261846,291,0.05705972537574927,0.8087770657722454,0.5146178441924398,291
frozen,low_light,2,2169,0.7100046104195482,0.6905501565794177,0.7287164848545462,629,0.02490378727754728,0.7080435527178423,0.44549641356915737,629
frozen,low_light,3,2169,0.31212540341171047,0.29297149351746393,0.331943640655225,1492,0.24325010384970033,0.5553755072614108,0.4973180685991957,1492
frozen,motion_blur,1,2169,0.8492392807745505,0.8335638470969142,0.863679799195572,327,0.05268770335177504,0.7965515774227754,0.5133342033333333,327
frozen,motion_blur,2,2169,0.6205624711848778,0.5999446902054189,0.6407539414849908,823,0.09944466669432914,0.720007137879207,0.5590212062332928,823
frozen,motion_blur,3,2169,0.46288612263716,0.44198579575161495,0.4839176847413949,1165,0.20389771905947437,0.6667838416966344,0.5602264766952789,1165
frozen,none,0,2169,0.9695712309820194,0.9614711896962695,0.9760108614573904,66,0.04615164709543571,0.9237927066620562,0.5313559148484849,66
