model,corruption,severity,true_class,predicted_class,count,same_crop
finetune,jpeg,1,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,3,True
finetune,jpeg,1,Blueberry___healthy,Soybean___healthy,1,False
finetune,jpeg,1,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,1,True
finetune,jpeg,1,"Pepper,_bell___healthy",Soybean___healthy,1,False
finetune,jpeg,1,Squash___Powdery_mildew,Grape___healthy,1,False
finetune,jpeg,1,Tomato___Late_blight,Potato___Late_blight,1,False
finetune,jpeg,1,Tomato___Late_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1,True
finetune,jpeg,1,Tomato___Leaf_Mold,Tomato___Early_blight,1,True
finetune,jpeg,2,"Pepper,_bell___healthy",Soybean___healthy,25,False
finetune,jpeg,2,Blueberry___healthy,Soybean___healthy,10,False
finetune,jpeg,2,Tomato___Spider_mites_Two-spotted_spider_mite,Tomato___Target_Spot,6,True
finetune,jpeg,2,Blueberry___healthy,Apple___healthy,5,False
finetune,jpeg,2,Tomato___healthy,Tomato___Late_blight,5,True
finetune,jpeg,2,Tomato___Septoria_leaf_spot,Tomato___Target_Spot,4,True
finetune,jpeg,2,Potato___healthy,Soybean___healthy,3,False
finetune,jpeg,2,Strawberry___healthy,Soybean___healthy,3,False
finetune,jpeg,2,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,2,False
finetune,jpeg,2,Peach___Bacterial_spot,Apple___healthy,2,False
finetune,jpeg,3,"Pepper,_bell___healthy",Soybean___healthy,43,False
finetune,jpeg,3,Blueberry___healthy,Soybean___healthy,32,False
finetune,jpeg,3,Squash___Powdery_mildew,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,24,False
finetune,jpeg,3,Squash___Powdery_mildew,Corn_(maize)___Northern_Leaf_Blight,13,False
finetune,jpeg,3,Tomato___Spider_mites_Two-spotted_spider_mite,Tomato___Target_Spot,13,True
finetune,jpeg,3,Tomato___Septoria_leaf_spot,Tomato___Bacterial_spot,12,True
finetune,jpeg,3,Tomato___Target_Spot,Tomato___Early_blight,12,True
finetune,jpeg,3,Tomato___healthy,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,11,False
