model,corruption,severity,class,f1
finetune,none,0,Apple___Apple_scab,1.0
finetune,none,0,Apple___Black_rot,1.0
finetune,none,0,Apple___Cedar_apple_rust,1.0
finetune,none,0,Apple___healthy,1.0
finetune,none,0,Blueberry___healthy,1.0
finetune,none,0,Cherry_(including_sour)___Powdery_mildew,1.0
finetune,none,0,Cherry_(including_sour)___healthy,1.0
finetune,none,0,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.9473684210526315
finetune,none,0,Corn_(maize)___Common_rust_,1.0
finetune,none,0,Corn_(maize)___Northern_Leaf_Blight,0.975
finetune,none,0,Corn_(maize)___healthy,1.0
finetune,none,0,Grape___Black_rot,1.0
finetune,none,0,Grape___Esca_(Black_Measles),1.0
finetune,none,0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0
finetune,none,0,Grape___healthy,1.0
finetune,none,0,Orange___Haunglongbing_(Citrus_greening),1.0
finetune,none,0,Peach___Bacterial_spot,1.0
finetune,none,0,Peach___healthy,1.0
finetune,none,0,"Pepper,_bell___Bacterial_spot",1.0
finetune,none,0,"Pepper,_bell___healthy",1.0
finetune,none,0,Potato___Early_blight,1.0
finetune,none,0,Potato___Late_blight,1.0
finetune,none,0,Potato___healthy,1.0
finetune,none,0,Raspberry___healthy,1.0
finetune,none,0,Soybean___healthy,1.0
finetune,none,0,Squash___Powdery_mildew,1.0
finetune,none,0,Strawberry___Leaf_scorch,1.0
finetune,none,0,Strawberry___healthy,1.0
finetune,none,0,Tomato___Bacterial_spot,0.9940828402366864
finetune,none,0,Tomato___Early_blight,1.0
finetune,none,0,Tomato___Late_blight,0.9934640522875817
finetune,none,0,Tomato___Leaf_Mold,1.0
finetune,none,0,Tomato___Septoria_leaf_spot,1.0
finetune,none,0,Tomato___Spider_mites_Two-spotted_spider_mite,1.0
finetune,none,0,Tomato___Target_Spot,1.0
finetune,none,0,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0
finetune,none,0,Tomato___Tomato_mosaic_virus,1.0
finetune,none,0,Tomato___healthy,1.0
frozen,none,0,Apple___Apple_scab,1.0
frozen,none,0,Apple___Black_rot,0.9803921568627451
frozen,none,0,Apple___Cedar_apple_rust,0.9523809523809523
frozen,none,0,Apple___healthy,0.9692307692307692
frozen,none,0,Blueberry___healthy,0.9833333333333333
frozen,none,0,Cherry_(including_sour)___Powdery_mildew,0.975609756097561
frozen,none,0,Cherry_(including_sour)___healthy,1.0
frozen,none,0,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.9473684210526315
frozen,none,0,Corn_(maize)___Common_rust_,1.0
frozen,none,0,Corn_(maize)___Northern_Leaf_Blight,0.9873417721518988
frozen,none,0,Corn_(maize)___healthy,1.0
frozen,none,0,Grape___Black_rot,0.9894736842105263
frozen,none,0,Grape___Esca_(Black_Measles),1.0
frozen,none,0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9882352941176471
frozen,none,0,Grape___healthy,1.0
frozen,none,0,Orange___Haunglongbing_(Citrus_greening),1.0
frozen,none,0,Peach___Bacterial_spot,0.972972972972973
frozen,none,0,Peach___healthy,0.8888888888888888
frozen,none,0,"Pepper,_bell___Bacterial_spot",0.9512195121951219
frozen,none,0,"Pepper,_bell___healthy",0.9661016949152542
