model,corruption,severity,condition,accuracy,macro_f1,mean_confidence,errors,samples,accuracy_drop,relative_accuracy_drop,macro_f1_drop
finetune,none,0,Clean,0.9986168741355463,0.997629350357287,0.9985313415527344,3,2169,0.0,0.0,0.0
frozen,none,0,Clean,0.9695712309820194,0.9664261949773578,0.9237926602363586,66,2169,0.0,0.0,0.0
finetune,motion_blur,1,Motion blur s1,0.9820193637621023,0.9767855027854493,0.9893307685852051,39,2169,0.016597510373444035,0.0166204986149585,0.02084384757183766
frozen,motion_blur,1,Motion blur s1,0.8492392807745505,0.8347841874977812,0.7965515851974487,327,2169,0.1203319502074689,0.1241084165477889,0.13164200747957666
finetune,motion_blur,2,Motion blur s2,0.8533886583679114,0.8015463867291129,0.9269260168075562,318,2169,0.1452282157676349,0.14542936288088645,0.196082963628174
frozen,motion_blur,2,Motion blur s2,0.6205624711848778,0.5565606053925448,0.7200071811676025,823,2169,0.3490087597971415,0.35996195910603895,0.409865589584813
finetune,motion_blur,3,Motion blur s3,0.5850622406639004,0.46422392604560353,0.8583534955978394,900,2169,0.4135546334716459,0.41412742382271467,0.5334054243116835
frozen,motion_blur,3,Motion blur s3,0.46288612263716,0.35441762743658317,0.66678386926651,1165,2169,0.5066851083448594,0.5225867807893485,0.6120085675407747
finetune,low_light,1,Low light + sensor noise s1,0.875979714153988,0.8799821752959281,0.9560089707374573,269,2169,0.12263715998155833,0.12280701754385966,0.1176471750613588
frozen,low_light,1,Low light + sensor noise s1,0.8658367911479945,0.8290457816245613,0.8087770938873291,291,2169,0.10373443983402486,0.10699001426533519,0.1373804133527965
finetune,low_light,2,Low light + sensor noise s2,0.5504840940525588,0.4922062022304956,0.8436180353164673,975,2169,0.4481327800829875,0.44875346260387805,0.5054231481267913
frozen,low_light,2,Low light + sensor noise s2,0.7100046104195482,0.6299037484816153,0.7080435156822205,629,2169,0.25956662056247115,0.26771279125059433,0.3365224464957425
finetune,low_light,3,Low light + sensor noise s3,0.13831258644536654,0.08503910267893863,0.5573362112045288,1869,2169,0.8603042876901799,0.8614958448753464,0.9125902476783483
frozen,low_light,3,Low light + sensor noise s3,0.31212540341171047,0.22865127668637358,0.5553755164146423,1492,2169,0.6574458275703089,0.6780789348549691,0.7377749182909843
finetune,jpeg,1,JPEG compression s1,0.9953895804518211,0.9929934583188236,0.9940140843391418,10,2169,0.0032272936837252075,0.0032317636195752426,0.004635892038463374
frozen,jpeg,1,JPEG compression s1,0.9289995389580452,0.9160752765809761,0.8641427755355835,154,2169,0.04057169202397415,0.04184498335710886,0.05035091839638173
finetune,jpeg,2,JPEG compression s2,0.9479022591055786,0.9407163440033464,0.9537455439567566,113,2169,0.05071461502996777,0.05078485687903975,0.05691300635394059
frozen,jpeg,2,JPEG compression s2,0.8284923928077456,0.793680661018248,0.7361335754394531,372,2169,0.1410788381742738,0.14550641940085587,0.17274553395910985
finetune,jpeg,3,JPEG compression s3,0.7648686030428768,0.7149451596301777,0.8009011149406433,510,2169,0.2337482710926695,0.2340720221606649,0.28268419072710926
frozen,jpeg,3,JPEG compression s3,0.6542185338865837,0.5895095890181249,0.6215826869010925,750,2169,0.3153526970954357,0.3252496433666191,0.37691660595923293
